Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Platano,1 ene - 31 dic,365,"2,299",143.69,100,143.69,39.32,40.54,10.60,0.00,0.00,10.61,37.72,17.90,0.00,0.00,27.62,74.60,"56,497.93","58,250.91","15,230.88",0.00,0.00,"15,245.24","54,198.93","25,720.06",0.00,0.00,"39,686.49","107,190.88",1.00,"56,497.93","58,250.91","15,230.88",0.00,0.00,"15,245.24","54,198.93","25,720.06",0.00,0.00,"39,686.49","107,190.88"
Yuca,1 ene - 31 jul,210,"2,303",143.94,40,57.58,25.46,51.08,38.98,0.00,0.00,0.00,0.00,,,,,,"14,658.60","29,409.31","22,442.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"14,658.60","29,409.31","22,442.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yuca,1 ago - 28 feb,210,"2,303",143.94,60,86.36,51.91,34.13,,,,,,0.00,0.00,0.00,9.95,54.27,"44,830.77","29,475.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,593.07","46,868.93",1.00,"44,830.77","29,475.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,593.07","46,868.93"
Batata,1 ene - 30 abr,120,"3,934",245.88,20,49.18,46.35,90.46,72.06,0.00,,,,,,,,,"22,792.61","44,483.71","35,435.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"22,792.61","44,483.71","35,435.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Batata,1 feb - 31 may,120,"3,934",245.88,30,73.76,,48.13,63.28,18.16,0.00,,,,,,,,0.00,"35,501.89","46,676.91","13,395.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"35,501.89","46,676.91","13,395.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Batata,1 ago - 30 nov,120,"3,934",245.88,20,49.18,,,,,,,,0.00,0.00,0.00,19.87,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,771.07",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,771.07",0.00
Batata,1 sep - 31 dic,120,"3,934",245.88,30,73.76,,,,,,,,,0.00,0.00,37.67,64.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"27,786.33","47,421.91",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"27,786.33","47,421.91"
Ajies,1 mar - 10 jun,100,176,11.00,40,4.40,,,25.21,9.28,5.64,0.00,,,,,,,0.00,0.00,"1,109.24",408.32,248.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"1,109.24",408.32,248.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ajies,1 abr - 10 jul,100,176,11.00,60,6.60,,,,0.00,0.00,27.70,5.18,,,,,,0.00,0.00,0.00,0.00,0.00,"1,828.20",341.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"1,828.20",341.88,0.00,0.00,0.00,0.00,0.00
Sorgo,1 abr - 31 jul,120,90,5.63,20,1.13,,,,0.00,0.00,15.35,4.42,,,,,,0.00,0.00,0.00,0.00,0.00,172.69,49.73,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,172.69,49.73,0.00,0.00,0.00,0.00,0.00
Sorgo,1 may - 31 ago,120,90,5.63,30,1.69,,,,,0.00,0.00,27.64,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,466.43,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,466.43,0.00,0.00,0.00,0.00,0.00
Sorgo,1 ago - 30 nov,120,90,5.63,20,1.13,,,,,,,,0.00,0.00,0.00,7.70,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.63,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.63,0.00
