Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Ajies,1 mar - 10 jun,100,176,11,40,4.4,,,25.21,9.28,5.64,0,,,,,,,0,0,1109.24,408.32,248.16,0,0,0,0,0,0,0,1,0,0,5546.2,2041.6,1240.8,0,0,0,0,0,0,0
Ajies,1 abr - 10 jul,100,176,11,60,6.6,,,,0,0,27.7,5.18,,,,,,0,0,0,0,0,1828.2,341.88,0,0,0,0,0,1,0,0,0,0,0,9141,1709.4,0,0,0,0,0
Sorgo,1 abr - 31 jul,120,90,5.625,20,1.125,,,,0,0,15.35,4.42,,,,,,0,0,0,0,0,172.6875,49.725,0,0,0,0,0,1,0,0,0,0,0,863.4375,248.625,0,0,0,0,0
Sorgo,1 may - 31 ago,120,90,5.625,30,1.6875,,,,,0,0,27.64,0,,,,,0,0,0,0,0,0,466.425,0,0,0,0,0,1,0,0,0,0,0,0,2332.125,0,0,0,0,0
Sorgo,1 ago - 30 nov,120,90,5.625,20,1.125,,,,,,,,0,0,0,7.7,,0,0,0,0,0,0,0,0,0,0,86.625,0,1,0,0,0,0,0,0,0,0,0,0,433.125,0
Sorgo,1 sep - 31 dic,120,90,5.625,30,1.6875,,,,,,,,,0,0,26.71,52.43,0,0,0,0,0,0,0,0,0,0,450.73125,884.75625,1,0,0,0,0,0,0,0,0,0,0,2253.65625,4423.78125
Guineo,1 ene - 31 dic,365,119,7.4375,100,7.4375,39.32,40.54,10.6,0,0,10.61,37.72,17.9,0,0,27.62,74.6,2924.425,3015.1625,788.375,0,0,789.11875,2805.425,1331.3125,0,0,2054.2375,5548.375,1,14622.125,15075.8125,3941.875,0,0,3945.59375,14027.125,6656.5625,0,0,10271.1875,27741.875
Caña de Azucar,1 ene - 31 dic,365,85,5.3125,100,5.3125,31.46,51.19,62.71,19.85,41.46,52.82,32.03,0,0,21.1,56.9,9.14,1671.3125,2719.46875,3331.46875,1054.53125,2202.5625,2806.0625,1701.59375,0,0,1120.9375,3022.8125,485.5625,1,8356.5625,13597.34375,16657.34375,5272.65625,11012.8125,14030.3125,8507.96875,0,0,5604.6875,15114.0625,2427.8125
Cebolla,1 sep - 31 ene,150,23,1.4375,40,0.575,66.8,,,,,,,,0,0,30.37,71.68,384.1,0,0,0,0,0,0,0,0,0,174.6275,412.16,1,1920.5,0,0,0,0,0,0,0,0,0,873.1375,2060.8
Cebolla,1 oct - 28 feb,150,23,1.4375,60,0.8625,80.76,71.6,,,,,,,,0,28.8,72.67,696.555,617.55,0,0,0,0,0,0,0,0,248.4,626.77875,1,3482.775,3087.75,0,0,0,0,0,0,0,0,1242,3133.89375
Berenjena,1 mar - 10 jun,100,488,30.5,40,12.2,,,21.94,0,0,18.36,6.94,,,,,,0,0,2676.68,0,0,2239.92,846.68,0,0,0,0,0,1,0,0,13383.4,0,0,11199.6,4233.4,0,0,0,0,0
Berenjena,1 abr - 10 jul,100,488,30.5,60,18.3,,,,0,0,18.8,31.32,4.25,,,,,0,0,0,0,0,3440.4,5731.56,777.75,0,0,0,0,1,0,0,0,0,0,17202,28657.8,3888.75,0,0,0,0
Remolacha,1 feb - 30 abr,100,64,4,50,2,,40.52,36.59,8.3,0,,,,,,,,0,810.4,731.8,166,0,0,0,0,0,0,0,0,1,0,4052,3659,830,0,0,0,0,0,0,0,0
Remolacha,1 mar - 30 may,100,64,4,50,2,,,12.67,0,0,1.73,,,,,,,0,0,253.4,0,0,34.6,0,0,0,0,0,0,1,0,0,1267,0,0,173,0,0,0,0,0,0
Pepino,1 mar - 15 abr,45,88,5.5,40,2.2,,,23,0,0,0,,,,,,,0,0,506,0,0,0,0,0,0,0,0,0,1,0,0,2530,0,0,0,0,0,0,0,0,0
Pepino,1 abr - 15 may,45,88,5.5,60,3.3,,,,0,0,14.66,3.98,,,,,,0,0,0,0,0,483.78,131.34,0,0,0,0,0,1,0,0,0,0,0,2418.9,656.7,0,0,0,0,0
Auyama,1 abr - 31 ago,150,895,55.9375,20,11.1875,,,,0,0,14.6,22.26,0,,,,,0,0,0,0,0,1633.375,2490.3375,0,0,0,0,0,1,0,0,0,0,0,8166.875,12451.6875,0,0,0,0,0
Auyama,1 may - 30 sep,150,895,55.9375,30,16.78125,,,,,0,0,26.85,12.8,0,,,,0,0,0,0,0,0,4505.765625,2148,0,0,0,0,1,0,0,0,0,0,0,22528.82813,10740,0,0,0,0
