Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Guineo,1 ene - 31 dic,365,274,17.13,100,17.13,64.97,68.03,49.89,22.79,48.31,117.69,146.54,122.51,85.6,67.91,91.58,129.3,11126.11,11650.14,8543.66,3902.79,8273.09,20154.41,25094.98,20979.84,14659,11629.59,15683.08,22142.63,1,11126.11,11650.14,8543.66,3902.79,8273.09,20154.41,25094.98,20979.84,14659,11629.59,15683.08,22142.63
Cana de Azucar,1 ene - 31 dic,365,30,1.88,100,1.88,51.98,85.68,136.43,151.06,155.03,171.4,173.19,147.65,108.7,77.66,80.21,99.11,974.63,1606.5,2558.06,2832.38,2906.81,3213.75,3247.31,2768.44,2038.13,1456.13,1503.94,1858.31,1,974.63,1606.5,2558.06,2832.38,2906.81,3213.75,3247.31,2768.44,2038.13,1456.13,1503.94,1858.31
Cana Negra,1 ene - 31 jul,365,120,7.5,100,7.5,51.98,85.68,136.43,151.06,155.03,171.4,173.19,147.65,108.7,77.66,80.21,99.11,3898.5,6426,10232.25,11329.5,11627.25,12855,12989.25,11073.75,8152.5,5824.5,6015.75,7433.25,1,3898.5,6426,10232.25,11329.5,11627.25,12855,12989.25,11073.75,8152.5,5824.5,6015.75,7433.25
Yuca,1 ene - 31 jul,210,4578,286.13,40,114.45,42.06,85.5,97.28,74.1,74.12,66.03,26.03,,,,,,48137.67,97854.75,111336.96,84807.45,84830.34,75571.34,29791.34,0,0,0,0,0,1,48137.67,97854.75,111336.96,84807.45,84830.34,75571.34,29791.34,0,0,0,0,0
Yuca,1 ago - 28 feb,210,4578,286.13,60,171.68,85.86,57.23,,,,,,0,9.31,26.45,55.94,93.95,147400.16,98249.6,0,0,0,0,0,0,15982.94,45408.04,96035,161288.66,1,147400.16,98249.6,0,0,0,0,0,0,15982.94,45408.04,96035,161288.66
Batata,1 ene - 30 abr,120,11052,690.75,20,138.15,76.57,150.63,152.57,96.38,,,,,,,,,105781.46,208095.35,210775.46,133148.97,0,0,0,0,0,0,0,0,1,105781.46,208095.35,210775.46,133148.97,0,0,0,0,0,0,0,0
Batata,1 feb - 31 may,120,11052,690.75,30,207.23,,80.67,140.32,133.64,98.34,,,,,,,,0,167168.41,290778.12,276935.49,203785.07,0,0,0,0,0,0,0,1,0,167168.41,290778.12,276935.49,203785.07,0,0,0,0,0,0,0
Batata,1 ago - 30 nov,120,11052,690.75,20,138.15,,,,,,,,34.16,79.11,75.12,73.4,,0,0,0,0,0,0,0,47192.04,109290.47,103778.28,101402.1,0,1,0,0,0,0,0,0,0,47192.04,109290.47,103778.28,101402.1,0
Batata,1 sep - 31 dic,120,11052,690.75,30,207.23,,,,,,,,,3.64,64.45,102.05,110.9,0,0,0,0,0,0,0,0,7542.99,133556.51,211473.11,229812.53,1,0,0,0,0,0,0,0,0,7542.99,133556.51,211473.11,229812.53
Tomate,1 sep - 15 ene,135,36,2.25,40,0.9,58.03,,,,,,,,6.09,28.16,99.34,136.15,522.27,0,0,0,0,0,0,0,54.81,253.44,894.06,1225.35,1,522.27,0,0,0,0,0,0,0,54.81,253.44,894.06,1225.35
Tomate,1 oct - 15 feb,135,36,2.25,60,1.35,147.15,63.86,,,,,,,,0,58.78,134.67,1986.53,862.11,0,0,0,0,0,0,0,0,793.53,1818.05,1,1986.53,862.11,0,0,0,0,0,0,0,0,793.53,1818.05
Cebolla,1 sep - 31 ene,150,13360,835,40,334,110.53,,,,,,,,29.63,58.42,89.29,123.35,369170.2,0,0,0,0,0,0,0,98964.2,195122.8,298228.6,411989,1,369170.2,0,0,0,0,0,0,0,98964.2,195122.8,298228.6,411989
Cebolla,1 oct - 28 feb,150,13360,835,60,501,133.59,119.26,,,,,,,,20.45,86.54,125.02,669285.9,597492.6,0,0,0,0,0,0,0,102454.5,433565.4,626350.2,1,669285.9,597492.6,0,0,0,0,0,0,0,102454.5,433565.4,626350.2
Ajies,1 mar - 10 jun,100,1257,78.56,40,31.43,,,72,114.87,130.79,32.77,,,,,,,0,0,22626,36097.9,41100.76,10297.97,0,0,0,0,0,0,1,0,0,22626,36097.9,41100.76,10297.97,0,0,0,0,0,0
Ajies,1 abr - 10 jul,100,1257,78.56,60,47.14,,,,45.78,116.41,147.38,36.59,,,,,,0,0,0,21579.55,54872.76,69471.25,17247.61,0,0,0,0,0,1,0,0,0,21579.55,54872.76,69471.25,17247.61,0,0,0,0,0
Zanahoria,1 mar - 10 jun,100,81,5.06,40,2.03,,,85.75,104.87,117.01,38.46,,,,,,,0,0,1736.44,2123.62,2369.45,778.82,0,0,0,0,0,0,1,0,0,1736.44,2123.62,2369.45,778.82,0,0,0,0,0,0
Zanahoria,1 abr - 10 jul,100,81,5.06,60,3.04,,,,60.74,105.96,133.34,42.21,,,,,,0,0,0,1844.98,3218.54,4050.2,1282.13,0,0,0,0,0,1,0,0,0,1844.98,3218.54,4050.2,1282.13,0,0,0,0,0
Berenjena,1 mar - 10 jun,100,972,60.75,40,24.3,,,66.52,70.52,115.69,132.05,39.88,,,,,,0,0,16164.36,17136.36,28112.67,32088.15,9690.84,0,0,0,0,0,1,0,0,16164.36,17136.36,28112.67,32088.15,9690.84,0,0,0,0,0
